ID	WORD	TRANSLATE	TYPE	COUNT
641	far	дальний, далекий 	OTHER	0
642	a fashion	мода 	NOUN	0
643	fast	быстрый, скорый 	OTHER	0
644	fast	быстро, скоро 	OTHER	0
645	to fasten	прикреплять, застегивать (ся) 	VERB	0
646	fat	толстый, упитанный 	OTHER	0
647	a father	отец 	NOUN	0
648	a fault	недостаток, неисправность 	NOUN	0
649	a favour	одолжение, услуга 	NOUN	0
650	favourite	любимый 	OTHER	0
651	a fear	боязнь, страх 	NOUN	0
652	to fear	бояться 	VERB	0
653	a feature	особенность, характерная черта 	NOUN	0
654	to feed	кормить 	VERB	0
655	to feel	чувствовать, ощущать 	VERB	0
656	a feeling	ощущение, чувство 	NOUN	0
657	a female	самка, женская особь 	NOUN	0
658	female	женского пола, женский 	OTHER	0
659	a fence	забор 	NOUN	0
660	to fetch	принести, добиваться 	VERB	0
661	few	мало, немного, несколько 	OTHER	0
662	a field	поле 	NOUN	0
663	fierce	свирепый, лютый 	OTHER	0
664	to fight	драться, сражаться 	VERB	0
665	a figure	цифра, фигура 	NOUN	0
666	a file	папка, досье 	NOUN	0
667	to fill	наполнять (ся) 	VERB	0
668	a film	фильм 	NOUN	0
669	final	завершающий, заключительный 	OTHER	0
670	finally	наконец, в конце концов 	OTHER	0
671	to find	находить 	VERB	0
672	fine	превосходный, тонкий 	OTHER	0
673	to finger	палец (на руке) 	VERB	0
674	to finish	заканчивать, завершать 	VERB	0
675	a fire	огонь, пожар 	NOUN	0
676	to fire	стрелять, выстреливать, увольнять 	VERB	0
677	firm	твердый, стойкий 	OTHER	0
678	first	первый, сначала 	OTHER	0
679	to fit	подходить, соответствовать 	VERB	0
680	fit	подходящий, соответствующий 	OTHER	0
681	to fix	ремонтировать, устанавливать 	VERB	0
682	flat	плоский, ровный 	OTHER	0
683	flat	ровно, плоско 	OTHER	0
684	a flavour	вкус, аромат 	NOUN	0
685	a flight	полет 	NOUN	0
686	to float	плавать, держаться на воде 	VERB	0
687	to flood	заливать, затоплять 	VERB	0
688	a floor	пол, этаж 	NOUN	0
689	a flow	течение, поток 	NOUN	0
690	to flow	течь, струиться 	VERB	0
691	to fly	летать 	VERB	0
692	to fold	загибать, складывать 	VERB	0
693	to follow	следовать, следить 	VERB	0
694	fond	нежный, любящий 	OTHER	0
695	a food	пища, еда 	NOUN	0
696	a foot	ступня, подножие 	NOUN	0
697	for	для, в течение 	OTHER	0
698	a force	сила 	NOUN	0
699	to force	заставлять, принуждать 	VERB	0
700	foreign	"иностранный; заграничный "	OTHER	0
701	forever	навсегда, всегда 	OTHER	0
702	to forget	забывать 	VERB	0
703	to forgive	прощать 	VERB	0
704	a fork	вилка 	NOUN	0
705	a form	форма, вид, класс (в школе) 	NOUN	0
706	to form	образовывать, формировать 	VERB	0
707	formal	официальный, формальный 	OTHER	0
708	fortunate	счастливый, удачливый 	OTHER	0
709	fortunately	к счастью 	OTHER	0
710	forward	вперед, спереди 	OTHER	0
711	a frame	рама, оправа, каркас 	NOUN	0
712	free	свободный, бесплатный 	OTHER	0
713	to free	освобождать 	VERB	0
714	free	бесплатно 	OTHER	0
715	a freedom	свобода 	NOUN	0
716	to freeze	замораживать, замерзать 	VERB	0
717	frequent	частый 	OTHER	0
718	fresh	свежий 	OTHER	0
719	a friend	друг 	NOUN	0
720	friendly	дружественный 	OTHER	0
721	to frighten	пугать 	VERB	0
722	frightened	испуганный 	OTHER	0
723	from	от, из, с 	OTHER	0
724	front	передняя сторона чего-л 	OTHER	0
725	full	полный 	OTHER	0
726	a fun	шутка, веселье 	NOUN	0
727	funny	забавный, смешной 	OTHER	0
728	a furniture	мебель 	NOUN	0
729	further	дальше, дальнейший 	OTHER	0
730	a future	будущее 	NOUN	0
731	future	будущий 	OTHER	0
732	a game	игра 	NOUN	0
733	a gap	щель, промежуток 	NOUN	0
734	a gas	газ 	NOUN	0
735	a gate	ворота 	NOUN	0
736	to gather	собирать (ся) 	VERB	0
737	general	главный, основной 	OTHER	0
738	generally	обычно, как правило 	OTHER	0
739	generous	щедрый, великодушный 	OTHER	0
740	gentle	ласковый, нежный 	OTHER	0
741	genuine	истинный, реальный 	OTHER	0
742	to get	получить 	VERB	0
743	to get away	уходить 	VERB	0
744	to get back	вернуть (ся) 	VERB	0
745	to get off	сойти, слезть 	VERB	0
746	to get on 	садиться (в машину) 	VERB	0
747	to get out	выходить, вылезать 	VERB	0
748	to get up	вставать, подниматься 	VERB	0
749	a gift	подарок 	NOUN	0
750	to give	давать, дарить 	VERB	0
751	to give away	отдавать, дарить 	VERB	0
752	to give back	возвращать, отдавать 	VERB	0
753	to give out	раздавать, распределять 	VERB	0
754	to give up	оставить, отказаться 	VERB	0
755	glad	довольный, рад 	OTHER	0
756	a glass	стекло, стакан 	NOUN	0
757	to go	идти, ходить 	VERB	0
758	to go away	уходить, уезжать 	VERB	0
759	to go back (to)	возвращаться 	VERB	0
760	to go down	опускаться, садиться 	VERB	0
761	to go off	выстреливать (об оружии), взрываться 	VERB	0
762	to go on	продолжать, случаться 	VERB	0
763	to go out	выйти, выходить 	VERB	0
764	to go up	подниматься, идти вверх 	VERB	0
765	good	хороший 	OTHER	0
766	goodbye	до свидания! 	OTHER	0
767	a government	правительство 	NOUN	0
768	a grade	степень, класс, сорт 	NOUN	0
769	gradually	постепенно 	OTHER	0
770	grand	большой, замечательный 	OTHER	0
771	grateful	благодарный, признательный 	OTHER	0
772	great	большой, огромный 	OTHER	0
773	a greeting	приветствие 	NOUN	0
774	a ground	земля 	NOUN	0
775	a group	группа 	NOUN	0
776	to grow	расти, вырастать 	VERB	0
777	a guard	охрана, защита 	NOUN	0
778	a guess	предположение, догадка 	NOUN	0
779	to guess	догадаться, полагать 	VERB	0
780	to guide	вести, руководить 	VERB	0
781	guilty	виновный, виноватый 	OTHER	0
782	a habit	обычай, привычка 	NOUN	0
783	a hair	волосы 	NOUN	0
784	a half	половина 	NOUN	0
785	a hand	рука (кисть), стрелка (часов) 	NOUN	0
786	to handle	управлять, регулировать, трогать 	VERB	0
787	to hang	вешать, висеть 	VERB	0
788	to happen	случаться, происходить 	VERB	0
789	happy	счастливый, довольный 	OTHER	0
790	hard	жесткий, твердый 	OTHER	0
791	hard	активно, упорно 	OTHER	0
792	hardly	вряд ли, почти не, едва 	OTHER	0
793	a harm	"вред; зло "	NOUN	0
794	to hate	ненавидеть 	VERB	0
795	he	он 	OTHER	0
796	to have	иметь 	VERB	0
797	a head	голова 	NOUN	0
798	a health	здоровье 	NOUN	0
799	healthy	здоровый 	OTHER	0
800	to hear 	слышать, услышать 	VERB	0
801	a heart	сердце 	NOUN	0
802	a heat	жара, тепло 	NOUN	0
803	heavy	тяжелый 	OTHER	0
804	a height	высота, рост 	NOUN	0
805	hello	привет! 	OTHER	0
806	to help	помогать 	VERB	0
807	her	ее 	OTHER	0
808	here	здесь 	OTHER	0
809	hers	ее 	OTHER	0
810	herself	сама, себя 	OTHER	0
811	to hide	прятать (ся), скрывать (ся) 	VERB	0
812	high	высокий 	OTHER	0
813	high	высоко 	OTHER	0
814	him	ему, его 	OTHER	0
815	himself	сам, себя 	OTHER	0
816	his	его 	OTHER	0
817	a history	история 	NOUN	0
818	a hit	хит, попдание 	NOUN	0
819	to hit	ударять, попаать 	VERB	0
820	a hold	захвт, рукоятка 	NOUN	0
821	to hold	дерать 	VERB	0
822	to hold on	подождать 	VERB	0
823	to hold out	протягивать, предлагать 	VERB	0
824	to hold up	останавливать, грабить 	VERB	0
825	a hole	дыра 	NOUN	0
826	a holiday	праздник, отпуск 	NOUN	0
827	hollow	пустой, впалый 	OTHER	0
828	home	дом 	OTHER	0
829	home	дома 	OTHER	0
830	honest	честный 	OTHER	0
831	a hope	надежда 	NOUN	0
832	to hope	надеяться 	VERB	0
833	a hospital	больница 	NOUN	0
834	hot	горячий, острый 	OTHER	0
835	a hour	час 	NOUN	0
836	a house	дом 	NOUN	0
837	how	как 	OTHER	0
838	however	однако, тем не менее 	OTHER	0
839	human	людской, человеческий 	OTHER	0
840	hungry	голодный 	OTHER	0
841	a hurry	суета, спешка 	NOUN	0
842	to hurry	торопить (ся), подгонять 	VERB	0
843	to hurt	ранить, обижать 	VERB	0
844	hurt	раненый 	OTHER	0
845	I	я 	OTHER	0
846	an idea	идея 	NOUN	0
847	to identify	опознавать, идентифицировать 	VERB	0
848	if	если 	OTHER	0
849	to ignore	игнорировать, пренебрегать 	VERB	0
850	ill	больной 	OTHER	0
851	an illness	болезнь 	NOUN	0
852	an image	образ, имидж 	NOUN	0
853	an imagination	"воображение; фантазия "	NOUN	0
854	to imagine	воображать, представлять себе 	VERB	0
855	immediate	немедленный 	OTHER	0
856	immediately	немедленно, сразу 	OTHER	0
857	impatient	нетерпеливый 	OTHER	0
858	an importance	важность, значимость 	NOUN	0
859	important	важный 	OTHER	0
860	impossible	невозможный, невыполнимый 	OTHER	0
861	impressed	пораженный 	OTHER	0
862	an impression	впечатление 	NOUN	0
863	impressive	впечатляющий, выразительный 	OTHER	0
864	to improve	улучшать (ся), совершенствовать (ся) 	VERB	0
865	an improvement	улучшение, усовершенствование 	NOUN	0
866	in	в, во 	OTHER	0
867	in	внутри, внутренний 	OTHER	0
868	include	заключать, включать в себя 	OTHER	0
869	an increase	возрастание, рост 	NOUN	0
870	to increase	возрастать, увеличивать (ся) 	VERB	0
871	indeed	в самом деле, действительно 	OTHER	0
872	independent	независимый, самостоятельный 	OTHER	0
873	an influence	влияние, действие 	NOUN	0
874	to influence	влиять, воздействовать 	VERB	0
875	to inform	сообщать, информировать 	VERB	0
876	an information	информация 	NOUN	0
877	an injury	вред, рана 	NOUN	0
878	innocent	невинный, непорочный 	OTHER	0
879	to inquire	осведомляться, узнавать 	VERB	0
880	inside	внутренний, внутри 	OTHER	0
881	to insist	настаивать, утверждать 	VERB	0
882	instant	мгновенный, растворимый 	OTHER	0
883	instead	вместо, взамен 	OTHER	0
884	an instruction	инструкция, правило 	NOUN	0
885	an instrument	инструмент, прибор 	NOUN	0
886	intelligent	сообразительный, понятливый 	OTHER	0
887	to intend	планировать, предназначаться 	VERB	0
888	an interest	интерес 	NOUN	0
889	interested	заинтересованный, интересующийся 	OTHER	0
890	interesting	интересный 	OTHER	0
891	to interfere	вмешиваться, повлиять 	VERB	0
892	to interrupt	прерывать, прекращать 	VERB	0
893	an interruption	перерыв, пауза 	NOUN	0
894	an interview	беседа, интервью 	NOUN	0
895	to interview	интервьюировать 	VERB	0
896	into	в (о), на 	OTHER	0
897	to introduce	знакомить, представлять 	VERB	0
898	an introduction	введение, представление 	NOUN	0
899	invitation	приглашение 	OTHER	0
900	to invite	приглашать, звать 	VERB	0
901	to involve	вовлекать, вмешивать 	VERB	0
902	a issue	вопрос (проблема), выпуск 	NOUN	0
903	it	это, он, она, оно 	OTHER	0
904	its	его, ее 	OTHER	0
905	Itself	себя, сам, сама, само 	OTHER	0
906	a job	работа 	NOUN	0
907	to join	соединять, объединять 	VERB	0
908	a joke	шутка 	NOUN	0
909	to joke	шутить 	VERB	0
910	a journey	путешествие, поездка 	NOUN	0
911	a judge	судья 	NOUN	0
912	to judge	судить, выносить приговор 	VERB	0
913	a juice	сок 	NOUN	0
914	to jump	прыгать 	VERB	0
915	just	только что, точно, только 	OTHER	0
916	a justice	справедливость, правосудие 	NOUN	0
917	keen	острый, сильный, резкий 	OTHER	0
918	to keep	держать, хранить 	VERB	0
919	to keep away	держать (ся) в отдалении, избегать 	VERB	0
920	to keep from	удерживать (ся), воздерживаться 	VERB	0
921	to keep off	не подпускать, воздерживаться 	VERB	0
922	to keep out	не допускать, не впускать 	VERB	0
923	to keep up	поддерживать, продолжать 	VERB	0
924	a key	ключ 	NOUN	0
925	to kick	ударять ногой, пинать 	VERB	0
926	to kill	убивать 	VERB	0
927	a kind	сорт, вид 	NOUN	0
928	kind	добрый 	OTHER	0
929	to knock	ударять, стучать 	VERB	0
930	to know	знать 	VERB	0
931	a knowledge	знание 	NOUN	0
932	a label	ярлык, этикетка 	NOUN	0
933	a land	земля, суша, почва 	NOUN	0
934	to land	приземляться, высаживать (на берег) 	VERB	0
935	a language	язык 	NOUN	0
936	large	большой, крупный 	OTHER	0
937	last	последний, прошлый 	OTHER	0
938	to last	длиться, сохраняться 	VERB	0
939	late	поздний, последний, поздно 	OTHER	0
940	later	более поздний 	OTHER	0
941	later	позже 	OTHER	0
942	a laugh	смех 	NOUN	0
943	to laugh	смеяться, рассмеяться 	VERB	0
944	a law	закон 	NOUN	0
945	to lay	класть, положить 	VERB	0
946	a lead	преимущество, поводок (для собаки) 	NOUN	0
947	to lead	вести, сопровождать, управлять 	VERB	0
948	to lean	наклонять (ся), опирать (ся) 	VERB	0
949	to learn	учиться, учить (что-л.) 	VERB	0
950	least	наименьший, наименее 	OTHER	0
951	to leave	покидать, оставлять 	VERB	0
952	left	левый 	OTHER	0
953	left	налево, слева  	OTHER	0
954	a left	левая сторона 	NOUN	0
955	a leg	нога (от бедра до ступни), ножка 	NOUN	0
956	legal	легальный, законный 	OTHER	0
957	to lend	одалживать, давать взаймы 	VERB	0
958	a length	длина, расстояние 	NOUN	0
959	less	меньше, менее 	OTHER	0
960	a lesson	урок 	NOUN	0
961	to let	позволять, разрешать, сдавать внаем 	VERB	0
962	a letter	письмо, буква 	NOUN	0
963	a level	уровень, степень 	NOUN	0
964	level	плоский, ровный 	OTHER	0
965	to lie	лежать 	VERB	0
966	a life	жизнь 	NOUN	0
967	to lift	поднимать (ся) 	VERB	0
968	a light	свет, лампа 	NOUN	0
969	light	светлый, легкий 	OTHER	0
970	to light	загораться, освещать 	VERB	0
971	to like	любить, нравиться 	VERB	0
972	like	подобный, похожий 	OTHER	0
973	likely	вероятный, возможный 	OTHER	0
974	a limit	граница, предел 	NOUN	0
975	to limit	ограничивать, ставить предел 	VERB	0
976	a line	линия, очередь, веревка 	NOUN	0
977	a list	список, перечень 	NOUN	0
978	to listen	слушать 	VERB	0
979	to listen for	прислушиваться 	VERB	0
980	little	маленький 	OTHER	0
981	little	мало, немного 	OTHER	0
982	to live	жить 	VERB	0
983	live	живой 	OTHER	0
984	a load	груз 	NOUN	0
985	to load	грузить, загружаться 	VERB	0
986	a loan	заем, ссуда 	NOUN	0
987	a lock	замок, локон 	NOUN	0
988	to lock	запирать ключом, блокировать 	VERB	0
989	lonely	одинокий 	OTHER	0
990	long	длинный 	OTHER	0
991	long	долго, длительно 	OTHER	0
992	to look	смотреть, следить 	VERB	0
993	to look after	присматривать, ухаживать за 	VERB	0
994	to look around	осматривать 	VERB	0
995	to look back (on)	оглядываться 	VERB	0
996	to look up	искать (что-л. в справочнике) 	VERB	0
997	loose	свободный, неупакованный 	OTHER	0
998	to lose	терять, проигрывать 	VERB	0
999	a loss	потеря, гибель 	NOUN	0
1000	lost	разрушенный, потерянный 	OTHER	0
1001	lot	много 	OTHER	0
1002	loud	громкий, шумный 	OTHER	0
1003	a love	любовь 	NOUN	0
1004	to love	любить 	VERB	0
1005	low	низкий 	OTHER	0
1006	lower	нижний, низший 	OTHER	0
1007	a luck	везение, удача, успех 	NOUN	0
1008	lucky	счастливый, удачный 	OTHER	0
1009	a lunch	обед, ланч 	NOUN	0
1010	a machine	машина, механизм 	NOUN	0
1011	mad	сумасшедший, ненормальный 	OTHER	0
1012	a mail	почта 	NOUN	0
1013	main	главный, основной 	OTHER	0
1014	mainly	главным образом, преимущественно 	OTHER	0
1015	to maintain	поддерживать, удерживать 	VERB	0
1016	major	более важный, больший 	OTHER	0
1017	majority	большинство 	OTHER	0
1018	to make	делать, создавать 	VERB	0
1019	to make into	переделывать, превращать во (что-л.) 	VERB	0
1020	to make up	выдумывать 	VERB	0
1021	a male	самец 	NOUN	0
1022	male	мужской, мужского пола 	OTHER	0
1023	a man	человек, мужчина 	NOUN	0
1024	to manage	руководить, управлять 	VERB	0
1025	a manner	манера, способ, метод 	NOUN	0
1026	many	много 	OTHER	0
1027	to march	маршировать, вышагивать (нервно) 	VERB	0
1028	a mark	знак, пятно, оценка 	NOUN	0
1029	to mark	отмечать, обозначать 	VERB	0
1030	a market	рынок 	NOUN	0
1031	married	женатый, замужняя 	OTHER	0
1032	to marry	жениться или выходить замуж 	VERB	0
1033	a mass	масса, множество 	NOUN	0
1034	a match	спичка, матч 	NOUN	0
1035	to match	подходить, соответствовать 	VERB	0
1036	a material	материал 	NOUN	0
1037	a matter	дело, вопрос, причина 	NOUN	0
1038	to matter	иметь значение, значить 	VERB	0
1039	maximum	максимальный 	OTHER	0
1040	to may	мочь (разрешение) 	VERB	0
1041	to maybe	может быть 	VERB	0
1042	me	меня, мне 	OTHER	0
1043	a meal	прием пищи, еда 	NOUN	0
1044	mean	неприятный, противный 	OTHER	0
1045	to mean	иметь в виду, значить, думать 	VERB	0
1046	a meaning	значение, смысл 	NOUN	0
1047	a means	средство, способ, метод 	NOUN	0
1048	meanwhile	тем временем, между тем 	OTHER	0
1049	a measure	мера, мероприятие 	NOUN	0
1050	to measure	измерять, иметь размер 	VERB	0
1051	medium	средний, промежуточный 	OTHER	0
1052	to meet	встречать (ся), знакомиться 	VERB	0
1053	a meeting	встреча, собрание 	NOUN	0
1054	a memory	память 	NOUN	0
1055	to mend	чинить, ремонтировать 	VERB	0
1056	to mention	упоминать 	VERB	0
1057	a mess	беспорядок, неприятность 	NOUN	0
1058	to mess	производить беспорядок 	VERB	0
1059	a message	сообщение, основная тема 	NOUN	0
1060	a method	метод, способ 	NOUN	0
1061	a middle	середина 	NOUN	0
1062	middle	средний, центральный 	OTHER	0
1063	to might	мочь (прош. вр. от may) 	VERB	0
1064	to mind	возражать, иметь что-л. против 	VERB	0
1065	a mind	ум, мнение, воспоминание 	NOUN	0
1066	mine	мой, моя, мое 	OTHER	0
1067	a mine	шахта, мина 	NOUN	0
1068	a minimum	минимум, минимальное количество 	NOUN	0
1069	minimum	минимальный  	OTHER	0
1070	minor	незначительный, несущественный 	OTHER	0
1071	a minority	меньшинство 	NOUN	0
1072	a minute	минута 	NOUN	0
1073	to miss	скучать, пропустить, не попасть 	VERB	0
1074	a miss	промах, неудача, отсутствие 	NOUN	0
1075	a mistake	ошибка 	NOUN	0
1076	to mistake	ошибаться 	VERB	0
1077	to mix	смешивать (ся), соединять 	VERB	0
1078	to mixture	смешивание, смесь 	VERB	0
1079	a model	модель, макет 	NOUN	0
1080	modern	современный 	OTHER	0
1081	a moment	момент, мгновение 	NOUN	0
1082	a money	деньги 	NOUN	0
1083	a month	месяц 	NOUN	0
1084	a mood	настроение 	NOUN	0
1085	a moon	луна 	NOUN	0
1086	moral	моральный, нравственный 	OTHER	0
1087	more	больше, еще 	OTHER	0
1088	a morning	утро 	NOUN	0
1089	most	больше всего, почти все 	OTHER	0
1090	a mother	мама 	NOUN	0
1091	a motion	движение 	NOUN	0
1092	a mouth	рот 	NOUN	0
1093	a move	движение, развитие 	NOUN	0
1094	to move	двигать (ся), переезжать 	VERB	0
1095	a movement	движение, передвижение 	NOUN	0
1096	much	много, очень 	OTHER	0
1097	a murder	убийство 	NOUN	0
1098	to murder	убивать 	VERB	0
1099	a muscle	мускул, мышца 	NOUN	0
1100	a music	музыка 	NOUN	0
1101	must	должен, обязан 	OTHER	0
1102	my	мой, моя, мое 	OTHER	0
1103	myself	себя, себе, сам 	OTHER	0
1104	mysterious	таинственный, загадочный 	OTHER	0
1105	a mystery	тайна, загадка 	NOUN	0
1106	a name	имя 	NOUN	0
1107	to name	называть, назначать 	VERB	0
1108	narrow	узкий 	OTHER	0
1109	national	национальный, народный  	OTHER	0
1110	natural	естественный, природный 	OTHER	0
1111	naturally	естественно 	OTHER	0
1112	a nature	природа 	NOUN	0
1113	near	близко, около, возле, рядом 	OTHER	0
1114	near	ближний, близкий 	OTHER	0
1115	nearly	почти 	OTHER	0
1116	neat	аккуратный 	OTHER	0
1117	necessary	необходимый, нужный 	OTHER	0
1118	a neck	шея, воротник, горлышко 	NOUN	0
1119	to need	нуждаться, требоваться 	VERB	0
1120	a needle	игла 	NOUN	0
1121	negative	отрицательный, негативный 	OTHER	0
1122	neither	ни тот ни другой, ни один из двух 	OTHER	0
1123	neither	также не 	OTHER	0
1124	a nerve	нерв, мускул 	NOUN	0
1125	nervous	нервный 	OTHER	0
1126	never	никогда 	OTHER	0
1127	new	новый 	OTHER	0
1128	a news	известие, новость 	NOUN	0
1129	next	следующий, потом, рядом 	OTHER	0
1130	nice	хороший, приятный 	OTHER	0
1131	a night	ночь 	NOUN	0
1132	no	не, нисколько не 	OTHER	0
1133	no	никакой, нет 	OTHER	0
1134	a noise	шум, грохот 	NOUN	0
1135	noisy	шумный, неспокойный 	OTHER	0
1136	none	никакой, ни один, никто 	OTHER	0
1137	a nonsense	абсурд, ерунда 	NOUN	0
1138	no one	никто 	OTHER	0
1139	nor	и... не, также... не 	OTHER	0
1140	normal	нормальный, обыкновенный 	OTHER	0
1141	a nose	нос 	NOUN	0
1142	not	не, нет, ни 	OTHER	0
1143	a note	записка, нота 	NOUN	0
1144	nothing	ничего, ничто 	OTHER	0
1145	a notice	объявление, афиша 	NOUN	0
1146	now	сейчас 	OTHER	0
1147	now	теперь 	OTHER	0
1148	nowhere	нигде, никуда 	OTHER	0
1149	a number	число, номер, количество 	NOUN	0
1150	a nurse	медицинская сестра 	NOUN	0
1151	an object	предмет, объект, цель 	NOUN	1
1152	to object	возражать, протестовать 	VERB	0
1153	an objection  	возражение, протест	NOUN	0
1154	to obtain	получать, добывать 	VERB	0
1155	obvious	очевидный, ясный 	OTHER	0
1156	an occasion	случай, повод 	NOUN	0
1157	occasional	случайный 	OTHER	0
1158	to occur	происходить, случаться 	VERB	0
1159	an ocean	океан 	NOUN	0
1160	odd	странный, необычный 	OTHER	0
1161	of	от, об, о, из 	OTHER	0
1162	off	с, со, от, выключенный 	OTHER	0
1163	off	несвежий, маловероятный 	OTHER	0
1164	an offence	нарушение, преступление 	NOUN	0
1165	to offend	обижать, раздражать 	VERB	0
1166	an offer	предложение 	NOUN	0
1167	to offer	предлагать 	VERB	0
1168	an office	офис 	NOUN	0
1169	official	официальный 	OTHER	0
1170	an official	должностное лицо 	NOUN	0
1171	often	часто 	OTHER	0
1172	an oil	нефть, масло 	NOUN	0
1173	OK or okay	хорошо, правильно 	OTHER	0
1174	old	старый 	OTHER	0
1175	on	на, в, по  	OTHER	0
1176	on	включенный, действующий 	OTHER	0
1177	once	один раз, раз 	OTHER	0
1178	once	однажды, когда-то 	OTHER	0
1179	one	один 	OTHER	0
1180	only	только, исключительно 	OTHER	0
1181	only	единственный 	OTHER	0
1182	onto	на, в 	OTHER	0
1183	open	открытый 	OTHER	0
1184	to open	открывать (ся), раскрывать (ся) 	VERB	0
1185	to operate	действовать, функционировать 	VERB	0
1186	an operation	операция, деятельность 	NOUN	0
1187	an opinion	мнение 	NOUN	0
1188	an opponent	противник, оппонент 	NOUN	0
1189	an opportunity	благоприятная возможность 	NOUN	0
1190	opposite	противоположный 	OTHER	0
1191	opposite	напротив, против 	OTHER	0
1192	or	или 	OTHER	0
1193	an order	порядок, заказ в ресторане 	NOUN	0
1194	to order	заказывать, приказывать 	VERB	0
1195	ordinary	обычный, обыкновенный 	OTHER	0
1196	an organization	организация 	NOUN	0
1197	to organize	организовывать, планировать 	VERB	0
1198	original	начальный, оригинальный 	OTHER	0
1199	other	другой 	OTHER	0
1200	otherwise	иначе, во всем остальном 	OTHER	0
1201	ought	выражает долженствование 	OTHER	0
1202	our	наш 	OTHER	0
1203	ours	наш 	OTHER	0
1204	ourselves	сами, себя 	OTHER	0
1205	out	вне, снаружи, из, наружу, внешний 	OTHER	0
1206	outside	снаружи, вне, за пределами 	OTHER	0
1207	over	над, выше, через, по 	OTHER	0
1208	over	свыше, повсюду 	OTHER	0
1209	to owe	быть должным, быть обязанным 	VERB	0
1210	own	свой, собственный 	OTHER	0
1211	a pain	боль, страдание 	NOUN	0
1212	a pair	пара 	NOUN	0
1213	a paper	бумага 	NOUN	0
1214	a part	доля, часть 	NOUN	0
1215	to part	расставаться, разделяться 	VERB	0
1216	an partner	партнер, супруг (а) 	NOUN	0
1217	an party	вечеринка, партия 	NOUN	0
1218	to pass	проходить, проезжать, передавать 	VERB	0
1219	a passage	проход, коридор, пассаж 	NOUN	0
1220	a passenger	пассажир 	NOUN	0
1221	a past	прошлое, прошедшее 	NOUN	0
1222	past	прошлый, прошедший 	OTHER	0
1223	past	мимо 	OTHER	0
1224	a path	тропинка, дорожка 	NOUN	0
1225	a patience	терпение 	NOUN	0
1226	patient	терпеливый 	OTHER	0
1227	a pattern	модель, система 	NOUN	0
1228	a pause	пауза 	NOUN	0
1229	to pause	останавливаться 	VERB	0
1230	a pay	плата, заработная плата 	NOUN	0
1231	to pay	платить 	VERB	0
1232	a payment	платеж, оплата 	NOUN	0
1233	a peace	мир 	NOUN	0
1234	peaceful	мирный, миролюбивый 	OTHER	0
1235	a pen	ручка 	NOUN	0
1236	a pencil	карандаш 	NOUN	0
1237	a people	люди 	NOUN	0
1238	perfect	совершенный 	OTHER	0
1239	to perform	выполнять, выступать 	VERB	0
1240	a performance	выступление, выполнение 	NOUN	0
1241	to perhaps	может быть, возможно 	VERB	0
1242	a period	период 	NOUN	0
1243	a permission	позволение, разрешение 	NOUN	0
1244	a person	человек, личность 	NOUN	0
1245	personal	личный 	OTHER	0
1246	to persuade	убеждать 	VERB	0
1247	a petrol	бензин 	NOUN	0
1248	a phone	телефон 	NOUN	0
1249	to phone	звонить по телефону 	VERB	0
1250	physical	физический, материальный 	OTHER	0
1251	to pick	выбирать, срывать (плоды), ковырять 	VERB	0
1252	a picture	картина, рисунок 	NOUN	0
1253	a piece	кусок, часть 	NOUN	0
1254	a pile	куча, кипа 	NOUN	0
1255	a pin	кнопка, гвоздь 	NOUN	0
1256	to pinch	щипать, красть 	VERB	0
1257	a pipe	труба, трубопровод 	NOUN	0
1258	a pity	жалость 	NOUN	0
1259	a place	пространство, место, площадь 	NOUN	0
1260	plain	чистый, одноцветный, понятный 	OTHER	0
1261	a plan	план 	NOUN	0
1262	to plan	планировать 	VERB	0
1263	a plant	растение, завод 	NOUN	0
1264	a plastic	пластик, пластмасса 	NOUN	0
1265	a plate	тарелка 	NOUN	0
1266	a platform	платформа, трибуна 	NOUN	0
1267	a play	пьеса, игра 	NOUN	0
1268	to play	играть 	VERB	0
1269	pleasant	приятный, радостный 	OTHER	0
1270	please	пожалуйста! 	OTHER	0
1271	to please	радовать, угождать 	VERB	0
1272	pleased	довольный 	OTHER	0
1273	a pleasure	удовольствие 	NOUN	0
1274	a plenty	множество, избыток 	NOUN	0
1275	plenty	вполне, довольно  	OTHER	0
1276	a pocket	карман 	NOUN	0
1277	a point	точка, цель, место 	NOUN	0
1278	to point	указывать, показывать 	VERB	0
1279	a poison	яд 	NOUN	0
1280	a police	полиция 	NOUN	0
1281	polite	вежливый 	OTHER	0
1282	a politics	политика 	NOUN	0
1283	a pollution	загрязнение 	NOUN	0
1284	a pool	бассейн, лужа 	NOUN	0
1285	poor	бедный 	OTHER	0
1286	popular	популярный 	OTHER	0
1287	a port	порт 	NOUN	0
1288	a position	положение, место 	NOUN	0
1289	positive	уверенный, позитивный 	OTHER	0
1290	a possession	владение, обладание 	NOUN	0
1291	a possibility	вероятность, возможность 	NOUN	0
1292	possible	вероятный, возможный 	OTHER	0
1293	to possibly	возможно, может быть 	VERB	0
1294	a post	почта 	NOUN	0
1295	to post	посылать по почте 	VERB	0
1296	a pot	горшок, банка 	NOUN	0
1297	to pour	лить, наливать 	VERB	0
1298	a power	сила 	NOUN	0
1299	powerful	сильный, крепкий 	OTHER	0
1300	practical	практический, практичный 	OTHER	0
1301	a practice	практика 	NOUN	0
1302	to practise	практиковать (ся), тренироваться 	VERB	0
